path	size_bytes	ext	status	note
.env.example	228	.example	active_root_doc	Environment template for optional credentials and defaults.
.pytest_cache/.gitignore	39		cache	Pytest cache metadata; not authoritative source.
.pytest_cache/CACHEDIR.TAG	191	.TAG	cache	Pytest cache metadata; not authoritative source.
.pytest_cache/README.md	310	.md	cache	Pytest cache metadata; not authoritative source.
.pytest_cache/v/cache/lastfailed	16393		cache	Pytest cache metadata; not authoritative source.
.pytest_cache/v/cache/nodeids	23885		cache	Pytest cache metadata; not authoritative source.
archive/20260304_222305/00_repo_audit_and_cleanup.ipynb	3027	.ipynb	archived_historical	Historical or superseded artifact preserved for auditability.
archive/20260304_222305/CLEANUP_LOG.md	1518	.md	archived_historical	Historical or superseded artifact preserved for auditability.
archive/20260304_222305/CLEANUP_PLAN.md	3171	.md	archived_historical	Historical or superseded artifact preserved for auditability.
archive/20260304_222305/CONTEXT_HANDOVER.md	6646	.md	archived_historical	Historical or superseded artifact preserved for auditability.
archive/20260304_222305/DATASET_ALLOWLIST_AND_LICENSE_NOTES.md	2514	.md	archived_historical	Historical or superseded artifact preserved for auditability.
archive/20260304_222305/eval_gates.yaml	446	.yaml	archived_historical	Historical or superseded artifact preserved for auditability.
archive/20260304_222305/FINAL_SUMMARY.md	3530	.md	archived_historical	Historical or superseded artifact preserved for auditability.
archive/20260304_222305/LOCAL_DRY_RUN_REPORT.md	3116	.md	archived_historical	Historical or superseded artifact preserved for auditability.
archive/20260304_222305/MANUAL_RUNPOD_HANDOFF.md	2237	.md	archived_historical	Historical or superseded artifact preserved for auditability.
archive/20260304_222305/README_CURRENT_STATE.md	1639	.md	archived_historical	Historical or superseded artifact preserved for auditability.
archive/20260304_222305/REPO_INVENTORY.md	3154	.md	archived_historical	Historical or superseded artifact preserved for auditability.
archive/20260304_222305/REQUIRED_INPUTS.md	1364	.md	archived_historical	Historical or superseded artifact preserved for auditability.
archive/20260304_222305/RUNPOD_NEXT_STEPS_DETAILED_REPORT.md	4521	.md	archived_historical	Historical or superseded artifact preserved for auditability.
archive/20260304_222305/SOURCE_REGISTRY.md	1604	.md	archived_historical	Historical or superseded artifact preserved for auditability.
archive/20260304_222305/train_dpo_qwen35_4b_unsloth.yaml	1293	.yaml	archived_historical	Historical or superseded artifact preserved for auditability.
archive/20260304_222305/train_sft_qwen35_4b_unsloth.yaml	2085	.yaml	archived_historical	Historical or superseded artifact preserved for auditability.
archive/20260304_222305/WHAT_STILL_CAN_FAIL.md	1320	.md	archived_historical	Historical or superseded artifact preserved for auditability.
